City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
105,Constitucion,CL,52.05,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
106,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
107,Togur,RU,48.72,broken clouds,58.3631,82.8265,
108,Naples,IT,86.38,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
109,Meybod,IR,98.62,clear sky,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
110,Ludwigslust,DE,68.83,scattered clouds,53.3167,11.5,"Hotel & Restaurant ""Prinzenstube"" Hotel Erbprinz Ludwigslust"
111,Hithadhoo,MV,83.82,overcast clouds,-0.6,73.0833,Scoop Guest House
112,Bengkulu,ID,74.52,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
113,Half Moon Bay,US,76.05,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
114,Port Elizabeth,ZA,63.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
115,New Norfolk,AU,40.71,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
116,Airai,TL,59.34,overcast clouds,-8.9266,125.4092,
117,Sitka,US,62.49,broken clouds,57.0531,-135.33,Westmark Sitka
118,Itubera,BR,70.45,few clouds,-13.7322,-39.1492,Pousada Baixo Sul.
119,Pevek,RU,32.07,snow,69.7008,170.3133,Severnoye Zoloto
120,Nikolayevka,RU,54.86,clear sky,53.1257,47.2041,"Hotel ""Prestige"""
121,Mezen,RU,46.08,clear sky,65.8522,44.24,Gostevoy Dom Everest
122,Chowchilla,US,93.02,clear sky,37.123,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
123,Mnogovershinnyy,RU,66.22,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
124,Vitim,RU,68.13,scattered clouds,59.4511,112.5578,Gostinitsa V Apteke
125,Novoagansk,RU,50.56,overcast clouds,61.9449,76.6625,
